guess-the-majority-in-a-hidden-array	Guess the Majority in a Hidden Array	2	true
find-the-index-of-the-large-integer	Find the Index of the Large Integer	2	true
diameter-of-n-ary-tree	Diameter of N-Ary Tree	2	true
get-the-maximum-score	Get the Maximum Score	3	false
minimum-swaps-to-arrange-a-binary-grid	Minimum Swaps to Arrange a Binary Grid	2	false
find-the-winner-of-an-array-game	Find the Winner of an Array Game	2	false
count-good-triplets	Count Good Triplets	1	false
move-sub-tree-of-n-ary-tree	Move Sub-Tree of N-Ary Tree	3	true
number-of-good-leaf-nodes-pairs	Number of Good Leaf Nodes Pairs	2	false
bulb-switcher-iv	Bulb Switcher IV	2	false
shuffle-string	Shuffle String	1	false
find-root-of-n-ary-tree	Find Root of N-Ary Tree	2	true
find-a-value-of-a-mysterious-function-closest-to-target	Find a Value of a Mysterious Function Closest to Target	3	false
maximum-number-of-non-overlapping-substrings	Maximum Number of Non-Overlapping Substrings	3	false
number-of-nodes-in-the-sub-tree-with-the-same-label	Number of Nodes in the Sub-Tree With the Same Label	2	false
water-bottles	Water Bottles	1	false
design-a-file-sharing-system	Design a File Sharing System	2	true
best-position-for-a-service-centre	Best Position for a Service Centre	3	false
string-compression-ii	String Compression II	3	false
number-of-substrings-with-only-1s	Number of Substrings With Only 1s	2	false
number-of-good-pairs	Number of Good Pairs	1	false
clone-n-ary-tree	Clone N-ary Tree	2	true
minimum-number-of-increments-on-subarrays-to-form-a-target-array	Minimum Number of Increments on Subarrays to Form a Target Array	3	false
number-of-good-ways-to-split-a-string	Number of Good Ways to Split a String	2	false
number-of-sub-arrays-with-odd-sum	Number of Sub-arrays With Odd Sum	2	false
count-odd-numbers-in-an-interval-range	Count Odd Numbers in an Interval Range	1	false
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits	Minimum Possible Integer After at Most K Adjacent Swaps On Digits	3	false
count-submatrices-with-all-ones	Count Submatrices With All Ones	2	false
last-moment-before-all-ants-fall-out-of-a-plank	Last Moment Before All Ants Fall Out of a Plank	2	false
can-make-arithmetic-progression-from-sequence	Can Make Arithmetic Progression From Sequence	1	false
clone-binary-tree-with-random-pointer	Clone Binary Tree With Random Pointer	2	true
max-value-of-equation	Max Value of Equation	3	false
number-of-subsequences-that-satisfy-the-given-sum-condition	Number of Subsequences That Satisfy the Given Sum Condition	2	false
check-if-array-pairs-are-divisible-by-k	Check If Array Pairs Are Divisible by k	2	false
path-crossing	Path Crossing	1	false
delete-n-nodes-after-m-nodes-of-a-linked-list	Delete N Nodes After M Nodes of a Linked List	1	true
stone-game-iv	Stone Game IV	3	false
minimum-difference-between-largest-and-smallest-value-in-three-moves	Minimum Difference Between Largest and Smallest Value in Three Moves	2	false
range-sum-of-sorted-subarray-sums	Range Sum of Sorted Subarray Sums	2	false
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree	Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree	3	false
avoid-flood-in-the-city	Avoid Flood in The City	2	false
making-file-names-unique	Making File Names Unique	2	false
xor-operation-in-an-array	XOR Operation in an Array	1	false
find-all-the-lonely-nodes	Find All The Lonely Nodes	1	true
minimum-number-of-days-to-make-m-bouquets	Minimum Number of Days to Make m Bouquets	2	false
least-number-of-unique-integers-after-k-removals	Least Number of Unique Integers after K Removals	2	false
running-sum-of-1d-array	Running Sum of 1d Array	1	false
parallel-courses-ii	Parallel Courses II	3	false
longest-subarray-of-1s-after-deleting-one-element	Longest Subarray of 1's After Deleting One Element	2	false
the-kth-factor-of-n	The kth Factor of n	2	false
average-salary-excluding-the-minimum-and-maximum-salary	Average Salary Excluding the Minimum and Maximum Salary	1	false
paint-house-iii	Paint House III	3	false
design-browser-history	Design Browser History	2	false
the-k-strongest-values-in-an-array	The k Strongest Values in an Array	2	false
shuffle-the-array	Shuffle the Array	1	false
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls	Probability of a Two Boxes Having The Same Number of Distinct Balls	3	false
reorder-routes-to-make-all-paths-lead-to-the-city-zero	Reorder Routes to Make All Paths Lead to the City Zero	2	false
maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts	Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts	2	false
maximum-product-of-two-elements-in-an-array	Maximum Product of Two Elements in an Array	1	false
find-two-non-overlapping-sub-arrays-each-with-target-sum	Find Two Non-overlapping Sub-arrays Each With Target Sum	2	false
subrectangle-queries	Subrectangle Queries	2	false
allocate-mailboxes	Allocate Mailboxes	3	false
final-prices-with-a-special-discount-in-a-shop	Final Prices With a Special Discount in a Shop	1	false
max-dot-product-of-two-subsequences	Max Dot Product of Two Subsequences	3	false
pseudo-palindromic-paths-in-a-binary-tree	Pseudo-Palindromic Paths in a Binary Tree	2	false
maximum-number-of-vowels-in-a-substring-of-given-length	Maximum Number of Vowels in a Substring of Given Length	2	false
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence	Check If a Word Occurs As a Prefix of Any Word in a Sentence	1	false
maximum-number-of-darts-inside-of-a-circular-dartboard	Maximum Number of Darts Inside of a Circular Dartboard	3	false
people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list	People Whose List of Favorite Companies Is Not a Subset of Another List	2	false
rearrange-words-in-a-sentence	Rearrange Words in a Sentence	2	false
number-of-students-doing-homework-at-a-given-time	Number of Students Doing Homework at a Given Time	1	false
cherry-pickup-ii	Cherry Pickup II	3	false
course-schedule-iv	Course Schedule IV	2	false
check-if-a-string-contains-all-binary-codes-of-size-k	Check If a String Contains All Binary Codes of Size K	2	false
make-two-arrays-equal-by-reversing-sub-arrays	Make Two Arrays Equal by Reversing Sub-arrays	1	false
number-of-ways-of-cutting-a-pizza	Number of Ways of Cutting a Pizza	3	false
minimum-time-to-collect-all-apples-in-a-tree	Minimum Time to Collect All Apples in a Tree	2	false
count-triplets-that-can-form-two-arrays-of-equal-xor	Count Triplets That Can Form Two Arrays of Equal XOR	2	false
build-an-array-with-stack-operations	Build an Array With Stack Operations	1	false
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows	Find the Kth Smallest Sum of a Matrix With Sorted Rows	3	false
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit	Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit	2	false
check-if-all-1s-are-at-least-length-k-places-away	Check If All 1's Are at Least Length K Places Away	2	false
destination-city	Destination City	1	false
form-largest-integer-with-digits-that-add-up-to-target	Form Largest Integer With Digits That Add up to Target	3	false
count-good-nodes-in-binary-tree	Count Good Nodes in Binary Tree	2	false
simplified-fractions	Simplified Fractions	2	false
consecutive-characters	Consecutive Characters	1	false
diagonal-traverse-ii	Diagonal Traverse II	2	false
maximum-points-you-can-obtain-from-cards	Maximum Points You Can Obtain from Cards	2	false
maximum-score-after-splitting-a-string	Maximum Score After Splitting a String	1	false
build-array-where-you-can-find-the-maximum-exactly-k-comparisons	Build Array Where You Can Find The Maximum Exactly K Comparisons	3	false
minimum-number-of-frogs-croaking	Minimum Number of Frogs Croaking	2	false
display-table-of-food-orders-in-a-restaurant	Display Table of Food Orders in a Restaurant	2	false
reformat-the-string	Reformat The String	1	false
number-of-ways-to-wear-different-hats-to-each-other	Number of Ways to Wear Different Hats to Each Other	3	false
check-if-a-string-can-break-another-string	Check If a String Can Break Another String	2	false
max-difference-you-can-get-from-changing-an-integer	Max Difference You Can Get From Changing an Integer	2	false
kids-with-the-greatest-number-of-candies	Kids With the Greatest Number of Candies	1	false
number-of-ways-to-paint-n-3-grid	Number of Ways to Paint N Ã— 3 Grid	3	false
html-entity-parser	HTML Entity Parser	2	false
queries-on-a-permutation-with-key	Queries on a Permutation With Key	2	false
string-matching-in-an-array	String Matching in an Array	1	false
stone-game-iii	Stone Game III	3	false
number-of-steps-to-reduce-a-number-in-binary-representation-to-one	Number of Steps to Reduce a Number in Binary Representation to One	2	false
minimum-subsequence-in-non-increasing-order	Minimum Subsequence in Non-Increasing Order	1	false
restore-the-array	Restore The Array	3	false
the-k-th-lexicographical-string-of-all-happy-strings-of-length-n	The k-th Lexicographical String of All Happy Strings of Length n	2	false
find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k	Find the Minimum Number of Fibonacci Numbers Whose Sum Is K	2	false
minimum-value-to-get-positive-step-by-step-sum	Minimum Value to Get Positive Step by Step Sum	1	false
find-all-good-strings	Find All Good Strings	3	false
design-underground-system	Design Underground System	2	false
count-number-of-teams	Count Number of Teams	2	false
find-lucky-integer-in-an-array	Find Lucky Integer in an Array	1	false
longest-happy-prefix	Longest Happy Prefix	3	false
check-if-there-is-a-valid-path-in-a-grid	Check if There is a Valid Path in a Grid	2	false
create-target-array-in-the-given-order	Create Target Array in the Given Order	1	false
reducing-dishes	Reducing Dishes	3	false
construct-k-palindrome-strings	Construct K Palindrome Strings	2	false
circle-and-rectangle-overlapping	Circle and Rectangle Overlapping	2	false
count-largest-group	Count Largest Group	1	false
maximum-performance-of-a-team	Maximum Performance of a Team	3	false
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree	Find a Corresponding Node of a Binary Tree in a Clone of That Tree	2	false
design-a-stack-with-increment-operation	Design a Stack With Increment Operation	2	false
lucky-numbers-in-a-matrix	Lucky Numbers in a Matrix	1	false
frog-position-after-t-seconds	Frog Position After T Seconds	3	false
time-needed-to-inform-all-employees	Time Needed to Inform All Employees	2	false
bulb-switcher-iii	Bulb Switcher III	2	false
generate-a-string-with-characters-that-have-odd-counts	Generate a String With Characters That Have Odd Counts	1	false
pizza-with-3n-slices	Pizza With 3n Slices	3	false
sort-integers-by-the-power-value	Sort Integers by The Power Value	2	false
cinema-seat-allocation	Cinema Seat Allocation	2	false
find-the-distance-value-between-two-arrays	Find the Distance Value Between Two Arrays	1	false
minimum-cost-to-make-at-least-one-valid-path-in-a-grid	Minimum Cost to Make at Least One Valid Path in a Grid	3	false
linked-list-in-binary-tree	Linked List in Binary Tree	2	false
rank-teams-by-votes	Rank Teams by Votes	2	false
how-many-numbers-are-smaller-than-the-current-number	How Many Numbers Are Smaller Than the Current Number	1	false
construct-target-array-with-multiple-sums	Construct Target Array With Multiple Sums	3	false
maximum-number-of-events-that-can-be-attended	Maximum Number of Events That Can Be Attended	2	false
product-of-the-last-k-numbers	Product of the Last K Numbers	2	false
count-negative-numbers-in-a-sorted-matrix	Count Negative Numbers in a Sorted Matrix	1	false
maximum-sum-bst-in-binary-tree	Maximum Sum BST in Binary Tree	3	false
longest-zigzag-path-in-a-binary-tree	Longest ZigZag Path in a Binary Tree	2	false
find-the-longest-substring-containing-vowels-in-even-counts	Find the Longest Substring Containing Vowels in Even Counts	2	false
increasing-decreasing-string	Increasing Decreasing String	1	false
maximum-students-taking-exam	Maximum Students Taking Exam	3	false
tweet-counts-per-frequency	Tweet Counts Per Frequency	2	false
minimum-number-of-steps-to-make-two-strings-anagram	Minimum Number of Steps to Make Two Strings Anagram	2	false
check-if-n-and-its-double-exist	Check If N and Its Double Exist	1	false
jump-game-v	Jump Game V	3	false
maximum-product-of-splitted-binary-tree	Maximum Product of Splitted Binary Tree	2	false
reduce-array-size-to-the-half	Reduce Array Size to The Half	2	false
the-k-weakest-rows-in-a-matrix	The K Weakest Rows in a Matrix	1	false
count-all-valid-pickup-and-delivery-options	Count All Valid Pickup and Delivery Options	3	false
number-of-substrings-containing-all-three-characters	Number of Substrings Containing All Three Characters	2	false
apply-discount-every-n-orders	Apply Discount Every n Orders	2	false
sort-integers-by-the-number-of-1-bits	Sort Integers by The Number of 1 Bits	1	false
minimum-difficulty-of-a-job-schedule	Minimum Difficulty of a Job Schedule	3	false
find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance	Find the City With the Smallest Number of Neighbors at a Threshold Distance	2	false
filter-restaurants-by-vegan-friendly-price-and-distance	Filter Restaurants by Vegan-Friendly, Price and Distance	2	false
remove-palindromic-subsequences	Remove Palindromic Subsequences	1	false
minimum-number-of-taps-to-open-to-water-a-garden	Minimum Number of Taps to Open to Water a Garden	3	false
delete-leaves-with-a-given-value	Delete Leaves With a Given Value	2	false
print-words-vertically	Print Words Vertically	2	false
maximum-69-number	Maximum 69 Number	1	false
jump-game-iv	Jump Game IV	3	false
angle-between-hands-of-a-clock	Angle Between Hands of a Clock	2	false
number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold	Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold	2	false
number-of-steps-to-reduce-a-number-to-zero	Number of Steps to Reduce a Number to Zero	1	false
minimum-distance-to-type-a-word-using-two-fingers	Minimum Distance to Type a Word Using Two Fingers	3	false
number-of-operations-to-make-network-connected	Number of Operations to Make Network Connected	2	false
minimum-flips-to-make-a-or-b-equal-to-c	Minimum Flips to Make a OR b Equal to c	2	false
convert-integer-to-the-sum-of-two-no-zero-integers	Convert Integer to the Sum of Two No-Zero Integers	1	false
minimum-insertion-steps-to-make-a-string-palindrome	Minimum Insertion Steps to Make a String Palindrome	3	false
get-watched-videos-by-your-friends	Get Watched Videos by Your Friends	2	false
xor-queries-of-a-subarray	XOR Queries of a Subarray	2	false
decrypt-string-from-alphabet-to-integer-mapping	Decrypt String from Alphabet to Integer Mapping	1	false
check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree	Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree	2	true
verbal-arithmetic-puzzle	Verbal Arithmetic Puzzle	3	false
jump-game-iii	Jump Game III	2	false
all-elements-in-two-binary-search-trees	All Elements in Two Binary Search Trees	2	false
find-n-unique-integers-sum-up-to-zero	Find N Unique Integers Sum up to Zero	1	false
maximum-candies-you-can-get-from-boxes	Maximum Candies You Can Get from Boxes	3	false
maximum-number-of-occurrences-of-a-substring	Maximum Number of Occurrences of a Substring	2	false
divide-array-in-sets-of-k-consecutive-numbers	Divide Array in Sets of K Consecutive Numbers	2	false
find-numbers-with-even-number-of-digits	Find Numbers with Even Number of Digits	1	false
shortest-path-in-a-grid-with-obstacles-elimination	Shortest Path in a Grid with Obstacles Elimination	3	false
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold	Maximum Side Length of a Square with Sum Less than or Equal to Threshold	2	false
convert-binary-number-in-a-linked-list-to-integer	Convert Binary Number in a Linked List to Integer	1	false
minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix	Minimum Number of Flips to Convert Binary Matrix to Zero Matrix	3	false
find-the-smallest-divisor-given-a-threshold	Find the Smallest Divisor Given a Threshold	2	false
group-the-people-given-the-group-size-they-belong-to	Group the People Given the Group Size They Belong To	2	false
subtract-the-product-and-sum-of-digits-of-an-integer	Subtract the Product and Sum of Digits of an Integer	1	false
print-immutable-linked-list-in-reverse	Print Immutable Linked List in Reverse	2	true
palindrome-partitioning-iii	Palindrome Partitioning III	3	false
count-square-submatrices-with-all-ones	Count Square Submatrices with All Ones	2	false
number-of-burgers-with-no-waste-of-ingredients	Number of Burgers with No Waste of Ingredients	2	false
find-winner-on-a-tic-tac-toe-game	Find Winner on a Tic Tac Toe Game	1	false
number-of-ways-to-stay-in-the-same-place-after-some-steps	Number of Ways to Stay in the Same Place After Some Steps	3	false
search-suggestions-system	Search Suggestions System	2	false
count-servers-that-communicate	Count Servers that Communicate	2	false
minimum-time-visiting-all-points	Minimum Time Visiting All Points	1	false
counting-elements	Counting Elements	1	true
minimum-moves-to-move-a-box-to-their-target-location	Minimum Moves to Move a Box to Their Target Location	3	false
greatest-sum-divisible-by-three	Greatest Sum Divisible by Three	2	false
find-elements-in-a-contaminated-binary-tree	Find Elements in a Contaminated Binary Tree	2	false
shift-2d-grid	Shift 2D Grid	1	false
maximum-score-words-formed-by-letters	Maximum Score Words Formed by Letters	3	false
number-of-closed-islands	Number of Closed Islands	2	false
reconstruct-a-2-row-binary-matrix	Reconstruct a 2-Row Binary Matrix	2	false
cells-with-odd-values-in-a-matrix	Cells with Odd Values in a Matrix	1	false
leftmost-column-with-at-least-a-one	Leftmost Column with at Least a One	2	true
check-if-it-is-a-good-array	Check If It Is a Good Array	3	false
minimum-remove-to-make-valid-parentheses	Minimum Remove to Make Valid Parentheses	2	false
count-number-of-nice-subarrays	Count Number of Nice Subarrays	2	false
minimum-swaps-to-make-strings-equal	Minimum Swaps to Make Strings Equal	2	false
first-unique-number	First Unique Number	2	true
airplane-seat-assignment-probability	Airplane Seat Assignment Probability	2	false
tiling-a-rectangle-with-the-fewest-squares	Tiling a Rectangle with the Fewest Squares	3	false
maximum-length-of-a-concatenated-string-with-unique-characters	Maximum Length of a Concatenated String with Unique Characters	2	false
circular-permutation-in-binary-representation	Circular Permutation in Binary Representation	2	false
find-positive-integer-solution-for-a-given-equation	Find Positive Integer Solution for a Given Equation	1	false
maximum-profit-in-job-scheduling	Maximum Profit in Job Scheduling	3	false
replace-the-substring-for-balanced-string	Replace the Substring for Balanced String	2	false
remove-sub-folders-from-the-filesystem	Remove Sub-Folders from the Filesystem	2	false
check-if-it-is-a-straight-line	Check If It Is a Straight Line	1	false
perform-string-shifts	Perform String Shifts	1	true
maximum-equal-frequency	Maximum Equal Frequency	3	false
dice-roll-simulation	Dice Roll Simulation	2	false
queens-that-can-attack-the-king	Queens That Can Attack the King	2	false
split-a-string-in-balanced-strings	Split a String in Balanced Strings	1	false
design-skiplist	Design Skiplist	3	false
count-vowels-permutation	Count Vowels Permutation	3	false
path-with-maximum-gold	Path with Maximum Gold	2	false
longest-arithmetic-subsequence-of-given-difference	Longest Arithmetic Subsequence of Given Difference	2	false
play-with-chips	Play with Chips	1	false
path-with-maximum-probability	Path with Maximum Probability	2	false
minimum-moves-to-reach-target-with-rotations	Minimum Moves to Reach Target with Rotations	3	false
get-equal-substrings-within-budget	Get Equal Substrings Within Budget	2	false
remove-all-adjacent-duplicates-in-string-ii	Remove All Adjacent Duplicates in String II	2	false
unique-number-of-occurrences	Unique Number of Occurrences	1	false
sort-items-by-groups-respecting-dependencies	Sort Items by Groups Respecting Dependencies	3	false
smallest-string-with-swaps	Smallest String With Swaps	2	false
ugly-number-iii	Ugly Number III	2	false
minimum-absolute-difference	Minimum Absolute Difference	1	false
longest-happy-string	Longest Happy String	2	false
critical-connections-in-a-network	Critical Connections in a Network	3	false
k-concatenation-maximum-sum	K-Concatenation Maximum Sum	2	false
reverse-substrings-between-each-pair-of-parentheses	Reverse Substrings Between Each Pair of Parentheses	2	false
maximum-number-of-balloons	Maximum Number of Balloons	1	false
kth-ancestor-of-a-tree-node	Kth Ancestor of a Tree Node	3	false
make-array-strictly-increasing	Make Array Strictly Increasing	3	false
day-of-the-week	Day of the Week	1	false
maximum-subarray-sum-with-one-deletion	Maximum Subarray Sum with One Deletion	2	false
distance-between-bus-stops	Distance Between Bus Stops	1	false
constrained-subsequence-sum	Constrained Subsequence Sum	3	false
balance-a-binary-search-tree	Balance a Binary Search Tree	2	false
four-divisors	Four Divisors	2	false
reformat-date	Reformat Date	1	false
number-of-valid-words-for-each-puzzle	Number of Valid Words for Each Puzzle	3	false
can-make-palindrome-from-substring	Can Make Palindrome from Substring	2	false
diet-plan-performance	Diet Plan Performance	1	true
prime-arrangements	Prime Arrangements	1	false
largest-multiple-of-three	Largest Multiple of Three	3	false
closest-divisors	Closest Divisors	2	false
validate-binary-tree-nodes	Validate Binary Tree Nodes	2	false
number-of-days-between-two-dates	Number of Days Between Two Dates	1	false
compare-strings-by-frequency-of-the-smallest-character	Compare Strings by Frequency of the Smallest Character	1	false
invalid-transactions	Invalid Transactions	2	false
web-crawler	Web Crawler	2	true
dinner-plate-stacks	Dinner Plate Stacks	3	false
remove-zero-sum-consecutive-nodes-from-linked-list	Remove Zero Sum Consecutive Nodes from Linked List	2	false
number-of-dice-rolls-with-target-sum	Number of Dice Rolls With Target Sum	2	false
online-majority-element-in-subarray	Online Majority Element In Subarray	3	false
swap-for-longest-repeated-character-substring	Swap For Longest Repeated Character Substring	2	false
day-of-the-year	Day of the Year	1	false
rank-transform-of-an-array	Rank Transform of an Array	1	false
reverse-subarray-to-maximize-array-value	Reverse Subarray To Maximize Array Value	3	false
deepest-leaves-sum	Deepest Leaves Sum	2	false
sort-the-matrix-diagonally	Sort the Matrix Diagonally	2	false
break-a-palindrome	Break a Palindrome	2	false
longest-chunked-palindrome-decomposition	Longest Chunked Palindrome Decomposition	3	false
longest-common-subsequence	Longest Common Subsequence	2	false
snapshot-array	Snapshot Array	2	false
binary-tree-coloring-game	Binary Tree Coloring Game	2	false
decrease-elements-to-make-array-zigzag	Decrease Elements To Make Array Zigzag	2	false
distinct-echo-substrings	Distinct Echo Substrings	3	false
sum-of-nodes-with-even-valued-grandparent	Sum of Nodes with Even-Valued Grandparent	2	false
matrix-block-sum	Matrix Block Sum	2	false
decompress-run-length-encoded-list	Decompress Run-Length Encoded List	1	false
stone-game-ii	Stone Game II	2	false
largest-1-bordered-square	Largest 1-Bordered Square	2	false
alphabet-board-path	Alphabet Board Path	2	false
n-th-tribonacci-number	N-th Tribonacci Number	1	false
number-of-paths-with-max-score	Number of Paths with Max Score	3	false
number-of-ships-in-a-rectangle	Number of Ships in a Rectangle	3	true
sum-of-mutated-array-closest-to-target	Sum of Mutated Array Closest to Target	2	false
replace-elements-with-greatest-element-on-right-side	Replace Elements with Greatest Element on Right Side	1	false
maximum-of-absolute-value-expression	Maximum of Absolute Value Expression	2	false
shortest-path-with-alternating-colors	Shortest Path with Alternating Colors	2	false
minimum-cost-tree-from-leaf-values	Minimum Cost Tree From Leaf Values	2	false
number-of-equivalent-domino-pairs	Number of Equivalent Domino Pairs	1	false
minimum-falling-path-sum-ii	Minimum Falling Path Sum II	3	false
remove-covered-intervals	Remove Covered Intervals	2	false
element-appearing-more-than-25-in-sorted-array	Element Appearing More Than 25% In Sorted Array	1	false
smallest-sufficient-team	Smallest Sufficient Team	3	false
longest-well-performing-interval	Longest Well-Performing Interval	2	false
lowest-common-ancestor-of-deepest-leaves	Lowest Common Ancestor of Deepest Leaves	2	false
relative-sort-array	Relative Sort Array	1	false
handshakes-that-dont-cross	Handshakes That Don't Cross	3	true
sequential-digits	Sequential Digits	2	false
iterator-for-combination	Iterator for Combination	2	false
maximum-nesting-depth-of-two-valid-parentheses-strings	Maximum Nesting Depth of Two Valid Parentheses Strings	2	false
delete-nodes-and-return-forest	Delete Nodes And Return Forest	2	false
corporate-flight-bookings	Corporate Flight Bookings	2	false
defanging-an-ip-address	Defanging an IP Address	1	false
palindrome-removal	Palindrome Removal	3	true
delete-tree-nodes	Delete Tree Nodes	2	true
remove-interval	Remove Interval	2	true
hexspeak	Hexspeak	1	true
parsing-a-boolean-expression	Parsing A Boolean Expression	3	false
filling-bookcase-shelves	Filling Bookcase Shelves	2	false
distribute-candies-to-people	Distribute Candies to People	1	false
path-in-zigzag-labelled-binary-tree	Path In Zigzag Labelled Binary Tree	2	false
divide-chocolate	Divide Chocolate	3	true
synonymous-sentences	Synonymous Sentences	2	true
smallest-common-region	Smallest Common Region	2	true
encode-number	Encode Number	2	true
brace-expansion-ii	Brace Expansion II	3	false
find-in-mountain-array	Find in Mountain Array	3	false
car-pooling	Car Pooling	2	false
statistics-from-a-large-sample	Statistics from a Large Sample	2	false
valid-palindrome-iii	Valid Palindrome III	3	true
tree-diameter	Tree Diameter	2	true
design-a-leaderboard	Design A Leaderboard	2	true
array-transformation	Array Transformation	1	true
shortest-path-in-binary-matrix	Shortest Path in Binary Matrix	2	false
shortest-common-supersequence	Shortest Common Supersequence 	3	false
largest-values-from-labels	Largest Values From Labels	2	false
duplicate-zeros	Duplicate Zeros	1	false
minimum-time-to-build-blocks	Minimum Time to Build Blocks	3	true
toss-strange-coins	Toss Strange Coins	2	true
meeting-scheduler	Meeting Scheduler	2	true
missing-number-in-arithmetic-progression	Missing Number In Arithmetic Progression	1	true
letter-tile-possibilities	Letter Tile Possibilities	2	false
smallest-subsequence-of-distinct-characters	Smallest Subsequence of Distinct Characters	2	false
insufficient-nodes-in-root-to-leaf-paths	Insufficient Nodes in Root to Leaf Paths	2	false
occurrences-after-bigram	Occurrences After Bigram	1	false
maximum-number-of-ones	Maximum Number of Ones	3	true
stepping-numbers	Stepping Numbers	2	true
two-sum-bsts	Two Sum BSTs	2	true
intersection-of-three-sorted-arrays	Intersection of Three Sorted Arrays	1	true
adding-two-negabinary-numbers	Adding Two Negabinary Numbers	2	false
flip-columns-for-maximum-number-of-equal-rows	Flip Columns For Maximum Number of Equal Rows	2	false
greatest-common-divisor-of-strings	Greatest Common Divisor of Strings	1	false
number-of-submatrices-that-sum-to-target	Number of Submatrices That Sum to Target	3	false
optimize-water-distribution-in-a-village	Optimize Water Distribution in a Village	3	true
find-smallest-common-element-in-all-rows	Find Smallest Common Element in All Rows	2	true
minimum-knight-moves	Minimum Knight Moves	2	true
how-many-apples-can-you-put-into-the-basket	How Many Apples Can You Put into the Basket	1	true
distant-barcodes	Distant Barcodes	2	false
previous-permutation-with-one-swap	Previous Permutation With One Swap	2	false
grumpy-bookstore-owner	Grumpy Bookstore Owner	2	false
height-checker	Height Checker	1	false
shortest-distance-to-target-color	Shortest Distance to Target Color	2	true
last-substring-in-lexicographical-order	Last Substring in Lexicographical Order	3	false
before-and-after-puzzle	Before and After Puzzle	2	true
count-substrings-with-only-one-distinct-letter	Count Substrings with Only One Distinct Letter	1	true
last-stone-weight-ii	Last Stone Weight II	2	false
longest-string-chain	Longest String Chain	2	false
remove-all-adjacent-duplicates-in-string	Remove All Adjacent Duplicates In String	1	false
last-stone-weight	Last Stone Weight	1	false
minimum-cost-to-connect-sticks	Minimum Cost to Connect Sticks	2	true
design-file-system	Design File System	2	true
string-transforms-into-another-string	String Transforms Into Another String	3	true
single-row-keyboard	Single-Row Keyboard	1	true
